Target,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
꼬깔콘,꼬깔콘,소리까지 맛배!,MTNAGER%,매콤달콤한 맛,LOTE,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔콘,고소한 맛,끼워먹는 재미),소녀까지 맛있다!,옥수수66 %플러스고소한맛씨즈닝2 %,상기 사진은 이미지컷 입니다.,과자 72 g(410 kcal),17년 닐슨포스 콘스낵 매출 기준!,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,옥수수는 역시 2깔로이!!,찰옥수수맛,{옥수수,집옥수수말 파우더,달콤고소,Sinee,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!
꼬깔콘,꼬깔콘,달콤한맛,소리까지 맛있다!,끼워먹는 재미,LOTTE,0pEN,Since,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔콘,치먹 스파이시면,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔콘,고소한맛,소리까지 맛있!,광장 4.36%17% 3.3) 양양 52 %,THEN 6N THE UPLOW!,Original Corsrach,이미지 사진,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,옥수수는 역시 2깔로이!!,찰옥수수맛,{옥수수,집옥수수말 파우더,달콤고소,Sinee,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!,옥수수는 역시 2깔로이!!
꼬깔콘,꼬깔콘,고소한맛,since 1988,2067g(085 1c) 44465%플라스고소함%4382 %,@LOTTE,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔콘,매콤달콤한 맛,소리까지 맛있다!,LOTTE,THE 매하게 THE비마이니,옥수수59 % 매출함께한맛씨즈닝 4.7),OPEN,광자 67 g(385 kcal),Uriginul Cormana,이미지 사진,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔 꼬깔콘,reat Drink PO,새우마요맛,reat. Drink Play,새우마요맛!,LOTTE,LOTTE,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘,꼬깔 꼬깔콘
꼬깔콘,꼬깔콘,소리까지 맛!,매콤달콤한 맛,TEENAGERIS,508/,(중량UP,LOTTE,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔콘,소리까지 맛있?,군옥수수맛,ace,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔콘,군옥수수맛,소리까지 맛있다?,GGOEAT!,1983),LET'S,Since,eLOTTE,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔콘,소리까지 맛있다?,군옥수수맛,since 1988,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔콘,고소한 맛,소리까지 맛있다!,0워먹는 재미),2985),꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,소리해 맛에!,찰옥수수맛],교육수수맛,고소한맛,소리에 맛~,달콤만맛,COUP.,OLOTTE,소리에 맞게?,OLOTTE,OLOTTE,OLOTTE,LOTTE,제 워먹는 재매!,꼬깔콘
꼬깔콘,꼬깔콘,소리까지 맛있!,GGOEATI,LETS,매콤달콤한 맛,e LOTTE,MID SANG AINEAD,MAD MONSTER,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬갈콘,꼬깔,신깔콘®,소리까지 맛있,의까지 맛있!,소리까지 맛있?,매콤달콤한맛,군옥수수미,고소한맛,since 1988,eLOTTE,e LOTTE,since,nce 1983,꼬갈콘,꼬갈콘,꼬갈콘,꼬갈콘,꼬갈콘,꼬갈콘
꼬깔콘,꼬깔콘,군옥수수맛,해바라기유명,Since,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔콘,고소한맛,해바라기유..;,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,고소한맛,고올레산,고소한맛,고소한맛,고소한맛,고소한맛,고소한맛,고소한맛,고소한맛,고소한맛,고소한맛,고소한맛,고소한맛,고소한맛,고소한맛,고소한맛,고소한맛,고소한맛,고소한맛,고소한맛
꼬깔콘,꼬깔콘,군옥수수맛,과자 77g(460 kcal) 옥수수63 %플러스로스트콘맛씨즈닝4.9 %,보듬이 블로그,8가 사탄은 이미지켓 입니다.,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS,Brai ODurS
꼬깔콘,꼬갈콘,소리까지 맛있다!,군옥수수맛,since 1983,OLOTTE,꼬갈콘,꼬갈콘,꼬갈콘,꼬갈콘,꼬갈콘,꼬갈콘,꼬갈콘,꼬갈콘,꼬갈콘,꼬갈콘,꼬갈콘,꼬갈콘,꼬갈콘,꼬갈콘,꼬갈콘
꼬깔콘,꼬갈리,꼬갈콘),소리까지 맛,고소한맛,since 1988,since 1988,군옥수수맛,꼬깔콘,소리끼 맛라,소리까지 맛에,OLouTe,매콤달콤한맛,since 1988,꼬갈리,꼬갈리,꼬갈리,꼬갈리,꼬갈리,꼬갈리,꼬갈리
꼬깔콘,꼬깔콘,군옥수수맛,소리까지 맛있다?,0워먹는 재미!,플라스로 고장 3(5166%,상기 사진은 이,지멋입,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘,꼬깔콘
꼬깔콘,꼬깔한,소리끼지 맛있!,군옥수수맛,since 198a,꼬깔한,꼬깔한,꼬깔한,꼬깔한,꼬깔한,꼬깔한,꼬깔한,꼬깔한,꼬깔한,꼬깔한,꼬깔한,꼬깔한,꼬깔한,꼬깔한,꼬깔한,꼬깔한
